               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  41,            0.083489,              2.2518,              1.1311,             0.51743,             0.39953,             0.39556,             0.38793,                   0,                   0,                   0,            0.009208,            0.009208,            0.009208
                  42,            0.080478,              2.2184,              1.1303,             0.43736,             0.38745,             0.39442,             0.39104,                   0,                   0,                   0,           0.0091882,           0.0091882,           0.0091882
                  43,            0.079147,              2.1982,              1.1326,             0.40091,                 0.4,             0.37167,             0.36689,                   0,                   0,                   0,           0.0091684,           0.0091684,           0.0091684
                  44,             0.07959,              2.1923,               1.136,             0.82412,             0.26722,             0.39192,             0.39017,                   0,                   0,                   0,           0.0091486,           0.0091486,           0.0091486
                  45,            0.076985,              2.1573,                1.14,             0.33708,             0.47001,             0.41485,             0.41361,                   0,                   0,                   0,           0.0091288,           0.0091288,           0.0091288
                  46,            0.079325,              2.1278,              1.1321,             0.51037,             0.39757,             0.42472,             0.42159,                   0,                   0,                   0,            0.009109,            0.009109,            0.009109
                  47,            0.077639,              2.1039,              1.1426,             0.56186,             0.37231,              0.3819,             0.38015,                   0,                   0,                   0,           0.0090892,           0.0090892,           0.0090892
                  48,            0.081392,              2.1189,              1.1321,              0.7627,             0.31641,             0.41197,             0.41038,                   0,                   0,                   0,           0.0090694,           0.0090694,           0.0090694
                  49,            0.079978,              2.1274,              1.1345,             0.44365,             0.41885,             0.42206,             0.42206,                   0,                   0,                   0,           0.0090496,           0.0090496,           0.0090496
                  50,            0.078568,              2.0761,              1.1295,             0.79278,             0.34388,             0.41739,             0.41739,                   0,                   0,                   0,           0.0090298,           0.0090298,           0.0090298
                  51,            0.074611,              2.0156,               1.134,             0.34517,             0.47888,              0.4203,              0.4203,                   0,                   0,                   0,             0.00901,             0.00901,             0.00901
                  52,            0.078371,              2.0358,              1.1447,             0.61297,             0.35018,             0.42426,             0.42426,                   0,                   0,                   0,           0.0089902,           0.0089902,           0.0089902
                  53,            0.076801,              2.0114,               1.138,             0.87487,             0.27899,             0.38775,             0.38775,                   0,                   0,                   0,           0.0089704,           0.0089704,           0.0089704
                  54,            0.080418,              1.9964,              1.1326,              0.4865,             0.40679,             0.44226,             0.44226,                   0,                   0,                   0,           0.0089506,           0.0089506,           0.0089506
                  55,             0.07772,              1.9599,              1.1386,             0.60683,             0.32533,             0.42371,             0.42371,                   0,                   0,                   0,           0.0089308,           0.0089308,           0.0089308
                  56,            0.075635,               1.996,               1.127,             0.45112,             0.46693,             0.46084,             0.46084,                   0,                   0,                   0,            0.008911,            0.008911,            0.008911
                  57,            0.077573,              1.9427,              1.1352,             0.44615,             0.48077,              0.4803,              0.4803,                   0,                   0,                   0,           0.0088912,           0.0088912,           0.0088912
                  58,            0.075494,              1.9322,              1.1332,             0.45618,             0.42069,              0.4397,             0.43955,                   0,                   0,                   0,           0.0088714,           0.0088714,           0.0088714
                  59,            0.077025,              1.9209,              1.1393,             0.69542,             0.37756,             0.45436,             0.45436,                   0,                   0,                   0,           0.0088516,           0.0088516,           0.0088516
                  60,            0.075492,              1.8949,              1.1334,             0.40024,             0.51877,             0.48735,             0.48735,                   0,                   0,                   0,           0.0088318,           0.0088318,           0.0088318
                  61,            0.078039,              1.8688,              1.1348,              0.4042,             0.50439,             0.47877,             0.47851,                   0,                   0,                   0,            0.008812,            0.008812,            0.008812
                  62,            0.078427,              1.8898,              1.1364,             0.37518,               0.456,             0.45479,             0.45479,                   0,                   0,                   0,           0.0087922,           0.0087922,           0.0087922
                  63,            0.074085,              1.8525,              1.1363,             0.51735,             0.43908,             0.50556,             0.50556,                   0,                   0,                   0,           0.0087724,           0.0087724,           0.0087724
                  64,             0.07771,              1.8299,              1.1303,             0.62329,             0.40663,             0.45449,             0.45326,                   0,                   0,                   0,           0.0087526,           0.0087526,           0.0087526
                  65,            0.074289,              1.8244,              1.1316,             0.57523,             0.40315,             0.47036,             0.46898,                   0,                   0,                   0,           0.0087328,           0.0087328,           0.0087328
                  66,            0.076314,               1.785,                1.13,             0.69002,             0.37866,             0.49055,              0.4905,                   0,                   0,                   0,            0.008713,            0.008713,            0.008713
                  67,            0.072151,              1.7929,                1.13,             0.46319,              0.4558,              0.4951,             0.49505,                   0,                   0,                   0,           0.0086932,           0.0086932,           0.0086932
                  68,            0.074226,              1.7557,              1.1281,              0.5812,             0.43783,             0.48911,             0.48899,                   0,                   0,                   0,           0.0086734,           0.0086734,           0.0086734
                  69,            0.073172,              1.7248,              1.1266,             0.38761,             0.50412,             0.49765,             0.49765,                   0,                   0,                   0,           0.0086536,           0.0086536,           0.0086536
                  70,            0.074895,              1.7032,              1.1305,             0.45084,              0.4971,             0.50713,             0.50427,                   0,                   0,                   0,           0.0086338,           0.0086338,           0.0086338
                  71,            0.072477,              1.7025,               1.139,              0.4955,             0.44517,             0.51097,             0.50893,                   0,                   0,                   0,            0.008614,            0.008614,            0.008614
                  72,            0.072362,              1.6637,              1.1385,             0.38187,             0.47048,             0.50621,             0.50456,                   0,                   0,                   0,           0.0085942,           0.0085942,           0.0085942
                  73,            0.073599,              1.6441,               1.138,             0.34685,             0.52312,             0.49885,             0.49885,                   0,                   0,                   0,           0.0085744,           0.0085744,           0.0085744
                  74,            0.074456,              1.6711,                1.13,             0.61407,             0.45983,             0.53839,             0.53839,                   0,                   0,                   0,           0.0085546,           0.0085546,           0.0085546
                  75,            0.072446,               1.633,               1.131,             0.43685,             0.54487,              0.5002,              0.5002,                   0,                   0,                   0,           0.0085348,           0.0085348,           0.0085348
                  76,            0.068922,              1.6312,              1.1324,             0.78726,             0.39535,             0.51726,             0.51726,                   0,                   0,                   0,            0.008515,            0.008515,            0.008515
                  77,            0.072782,              1.6196,              1.1321,             0.64507,               0.436,             0.52313,             0.52248,                   0,                   0,                   0,           0.0084952,           0.0084952,           0.0084952
                  78,            0.072642,              1.5921,               1.127,             0.42637,             0.52745,             0.53132,              0.5259,                   0,                   0,                   0,           0.0084754,           0.0084754,           0.0084754
                  79,            0.071757,               1.567,              1.1388,             0.64152,              0.4739,             0.52572,             0.52399,                   0,                   0,                   0,           0.0084556,           0.0084556,           0.0084556
                  80,            0.072162,              1.5695,              1.1321,             0.61593,             0.46485,              0.5284,             0.52722,                   0,                   0,                   0,           0.0084358,           0.0084358,           0.0084358
                  81,            0.075438,              1.5619,              1.1242,             0.59587,             0.48664,             0.51547,             0.51423,                   0,                   0,                   0,            0.008416,            0.008416,            0.008416
                  82,            0.070818,              1.5225,              1.1368,             0.48331,             0.51074,             0.51928,             0.51868,                   0,                   0,                   0,           0.0083962,           0.0083962,           0.0083962
                  83,            0.068898,              1.4873,              1.1334,             0.50715,             0.46494,             0.51921,             0.51895,                   0,                   0,                   0,           0.0083764,           0.0083764,           0.0083764
                  84,            0.072067,              1.4616,               1.136,             0.43965,             0.53949,             0.55176,             0.55076,                   0,                   0,                   0,           0.0083566,           0.0083566,           0.0083566
                  85,             0.07224,              1.4985,              1.1254,             0.64817,              0.4413,             0.53281,             0.53065,                   0,                   0,                   0,           0.0083368,           0.0083368,           0.0083368
                  86,            0.074125,              1.4723,              1.1285,             0.47093,             0.51534,             0.52349,             0.52349,                   0,                   0,                   0,            0.008317,            0.008317,            0.008317
                  87,            0.072411,               1.433,              1.1231,             0.69456,             0.45993,             0.56371,             0.56371,                   0,                   0,                   0,           0.0082972,           0.0082972,           0.0082972
                  88,             0.07226,              1.4523,              1.1287,             0.47909,             0.54896,             0.54919,             0.54919,                   0,                   0,                   0,           0.0082774,           0.0082774,           0.0082774
                  89,            0.071556,              1.4399,              1.1392,             0.45798,             0.53969,             0.54275,             0.54275,                   0,                   0,                   0,           0.0082576,           0.0082576,           0.0082576
                  90,             0.07084,              1.4401,               1.131,              0.4124,             0.54697,             0.54756,             0.54722,                   0,                   0,                   0,           0.0082378,           0.0082378,           0.0082378
                  91,            0.068562,              1.3932,               1.136,              0.7429,             0.46984,             0.56132,             0.56132,                   0,                   0,                   0,            0.008218,            0.008218,            0.008218
                  92,            0.070778,               1.407,               1.133,             0.45448,             0.58286,             0.56129,             0.56129,                   0,                   0,                   0,           0.0081982,           0.0081982,           0.0081982
                  93,            0.068296,              1.4039,              1.1358,              0.7207,             0.48287,             0.57229,             0.57198,                   0,                   0,                   0,           0.0081784,           0.0081784,           0.0081784
                  94,            0.074819,              1.3565,              1.1445,             0.49572,             0.51179,             0.53745,             0.53745,                   0,                   0,                   0,           0.0081586,           0.0081586,           0.0081586
                  95,            0.070979,              1.3576,              1.1306,             0.46781,             0.55517,             0.58408,             0.58336,                   0,                   0,                   0,           0.0081388,           0.0081388,           0.0081388
                  96,            0.067468,              1.3389,              1.1348,              0.5688,             0.56161,             0.57937,             0.57874,                   0,                   0,                   0,            0.008119,            0.008119,            0.008119
                  97,            0.068395,              1.3566,              1.1343,             0.57724,             0.49686,             0.55261,             0.55261,                   0,                   0,                   0,           0.0080992,           0.0080992,           0.0080992
                  98,            0.069785,              1.3379,              1.1311,             0.66011,             0.51474,             0.59021,             0.58709,                   0,                   0,                   0,           0.0080794,           0.0080794,           0.0080794
                  99,            0.067252,              1.3001,              1.1315,             0.45655,             0.57614,             0.57007,             0.56758,                   0,                   0,                   0,           0.0080596,           0.0080596,           0.0080596
                 100,            0.067605,               1.293,              1.1327,             0.59816,             0.45815,             0.55066,             0.54884,                   0,                   0,                   0,           0.0080398,           0.0080398,           0.0080398
                 101,            0.067787,              1.2702,              1.1293,             0.48786,                0.61,             0.59713,             0.59587,                   0,                   0,                   0,             0.00802,             0.00802,             0.00802
                 102,            0.067817,              1.2751,              1.1367,             0.56683,             0.51501,             0.54124,             0.54124,                   0,                   0,                   0,           0.0080002,           0.0080002,           0.0080002
                 103,            0.065936,              1.2578,              1.1353,             0.64205,              0.4753,             0.56418,             0.56418,                   0,                   0,                   0,           0.0079804,           0.0079804,           0.0079804
                 104,             0.06963,              1.2546,              1.1335,             0.68927,              0.4872,             0.58427,             0.58427,                   0,                   0,                   0,           0.0079606,           0.0079606,           0.0079606
                 105,            0.067231,              1.2574,              1.1273,             0.46054,             0.56085,             0.57354,             0.57354,                   0,                   0,                   0,           0.0079408,           0.0079408,           0.0079408
                 106,            0.066149,               1.235,              1.1291,             0.57452,              0.5385,             0.60219,             0.60219,                   0,                   0,                   0,            0.007921,            0.007921,            0.007921
                 107,            0.069868,              1.2461,              1.1313,             0.66507,             0.51083,             0.59283,             0.59283,                   0,                   0,                   0,           0.0079012,           0.0079012,           0.0079012
                 108,            0.071668,              1.2287,              1.1275,             0.67768,             0.47571,             0.56313,             0.56287,                   0,                   0,                   0,           0.0078814,           0.0078814,           0.0078814
                 109,            0.071899,                1.19,              1.1305,             0.60106,              0.5214,             0.57837,             0.57766,                   0,                   0,                   0,           0.0078616,           0.0078616,           0.0078616
                 110,            0.071732,              1.1889,              1.1416,             0.64885,             0.48388,             0.59014,             0.59004,                   0,                   0,                   0,           0.0078418,           0.0078418,           0.0078418
                 111,            0.068417,              1.1691,              1.1332,             0.60576,             0.52809,             0.57701,             0.57701,                   0,                   0,                   0,            0.007822,            0.007822,            0.007822
                 112,            0.067738,              1.1635,              1.1327,             0.55266,              0.5009,             0.58453,             0.58453,                   0,                   0,                   0,           0.0078022,           0.0078022,           0.0078022
                 113,            0.066091,              1.1376,              1.1377,             0.43239,             0.60838,             0.58208,             0.58208,                   0,                   0,                   0,           0.0077824,           0.0077824,           0.0077824
                 114,            0.068566,              1.1418,              1.1316,             0.61002,             0.54503,             0.63055,             0.63055,                   0,                   0,                   0,           0.0077626,           0.0077626,           0.0077626
                 115,            0.069863,              1.1073,              1.1289,             0.65335,             0.51763,             0.59239,             0.59086,                   0,                   0,                   0,           0.0077428,           0.0077428,           0.0077428
                 116,            0.068621,              1.0903,              1.1356,             0.67684,             0.49707,             0.57223,             0.57117,                   0,                   0,                   0,            0.007723,            0.007723,            0.007723
